company,url,flag,industry,size
Racebolt Limited,http://www.raceboltuk.com,OK,Manufacture of basic iron and steel and of ferro-alloys,Micro (turnover ≤£632k)
Industrial Services Ltd,https://industrial-services.co.uk,OK,Treatment and coating of metals,Micro (turnover ≤£632k)
Lloyd & Co Blacksmiths Ltd,http://www.lloydblacksmiths.com,OK,Machining,Micro (turnover ≤£632k)
Ace Cutters (London) Limited,https://www.acecutters.co.uk,OK,Manufacture of tools,Micro (turnover ≤£632k)
Gamebird Products Limited,https://www.gamebird.co.uk,OK,Manufacture of other fabricated metal products n.e.c.,Micro (turnover ≤£632k)
Quantum Systemes Ltd,https://www.quantum-systems.com,,Manufacture of computers and peripheral equipment,Micro (turnover ≤£632k)
Mrrails.com Limited,https://www.mrrails.com,OK,Manufacture of consumer electronics,Micro (turnover ≤£632k)
Premi-Aire (Services) Limited,https://premiair.uk.com,OK,Manufacture of non-domestic cooling and ventilation equipment,Micro (turnover ≤£632k)
Detron Ltd,https://www.detron.co.uk,OK,Manufacture of other general-purpose machinery n.e.c.,Micro (turnover ≤£632k)
Rite Engineering Ltd,https://rite-engineering.com,OK,Manufacture of agricultural tractors,Micro (turnover ≤£632k)
Carrick Engineering Limited,https://www.carrickengineering.co.uk,OK,Manufacture of trailers and semi-trailers,Micro (turnover ≤£632k)
Ellwoodkitchens Ltd,https://ellwoodkitchens.co.uk,OK,Manufacture of kitchen furniture,Micro (turnover ≤£632k)
John Stone's Beds and Mattresses Ltd,https://johnstonesbeds.co.uk,OK,Manufacture of mattresses,Micro (turnover ≤£632k)
Ewan Buxton Joinery Limited,https://ewanbuxtonjoinery.co.uk,OK,Manufacture of other furniture,Micro (turnover ≤£632k)
Keizer Frames Limited,https://www.pictureframinglewes.co.uk,OK,Other manufacturing n.e.c.,Micro (turnover ≤£632k)
Secure Line Solutions Ltd,https://securelinesolutions.co.uk,OK,Repair of fabricated metal products,Micro (turnover ≤£632k)
Mobile Hose and Hydraulics Ltd,https://mobihose.co.uk,OK,Repair of machinery,Micro (turnover ≤£632k)
Cornwall Vacuum Services Limited,https://www.cornwall-vacuums.co.uk,OK,Repair of machinery,Micro (turnover ≤£632k)
JJ Engineering (SW) Limited,https://www.jjengineeringswltd.co.uk,OK,Repair of machinery,Micro (turnover ≤£632k)
Haenni Wheel Weigh Pads Limited,https://www.haenni-scales.com/int/en,OK,Repair and maintenance of other transport equipment n.e.c.,Micro (turnover ≤£632k)
Mayan Waters Ltd,https://www.mayanwaters.com/,OK,Repair of other equipment,Micro (turnover ≤£632k)
B.H. Refrigeration Limited,https://www.bhrefrigeration.co.uk,OK,Repair of other equipment,Micro (turnover ≤£632k)
Cheshire Pump Company Limited,http://www.cheshirepumpcompany.co.uk,OK,Installation of industrial machinery and equipment,Micro (turnover ≤£632k)
Allison Wold Power Limited,https://www.allisonwoldpower.co.uk,OK,Production of electricity,Micro (turnover ≤£632k)
Storelectric Fleetwood Limited,https://storelectric.com,OK,Production of electricity,Micro (turnover ≤£632k)
Drainworx Limited,http://www.drain-worx.co.uk,OK,Sewerage,Micro (turnover ≤£632k)
Youngs Waste Clearance Ltd,https://youngswasteclearance.co.uk,OK,Collection of non-hazardous waste,Micro (turnover ≤£632k)
Paperwise Limited,https://www.paperwise.co.uk,OK,Collection of non-hazardous waste,Micro (turnover ≤£632k)
Alliance Facilities Management Limited,https://www.alliancefacilities.co.uk,OK,Treatment and disposal of non-hazardous waste,Micro (turnover ≤£632k)
LPM Waste Management Ltd,https://lpmwastemanagement.co.uk,OK,Remediation activities and other waste management services,Micro (turnover ≤£632k)
Charlesgate Homes (Burghfield) Limited,https://charlesgatehomes.com,OK,Development of building projects,Micro (turnover ≤£632k)
Mawson Builders Limited,https://mawsonbuilders.com,,Construction of domestic buildings,Micro (turnover ≤£632k)
A1 Asphalt & Tarmacadam Surfacing Ltd,https://a1tarmacadamltd.co.uk,OK,Construction of roads and motorways,Micro (turnover ≤£632k)
Skyblue Contracting (UK) Ltd,https://www.sky-blue.uk,OK,Construction of roads and motorways,Micro (turnover ≤£632k)
P J Construction Services Limited,https://pjconstruct.co.uk,OK,Construction of roads and motorways,Micro (turnover ≤£632k)
Staffordshire Septics and Drainage Ltd,https://staffordshiresepticsanddrainage.com,OK,Construction of utility projects for fluids,Micro (turnover ≤£632k)
Utilities Guardian Ltd,https://www.guardianwp.com,OK,Construction of utility projects for fluids,Micro (turnover ≤£632k)
McNair Utilities Limited,https://www.mcnair-utilities.co.uk,OK,Construction of water projects,Micro (turnover ≤£632k)
Unicorn Projects Ltd,https://www.unicornprojects.co.uk/,OK,Construction of other civil engineering projects n.e.c.,Micro (turnover ≤£632k)
BKB Services Group Ltd,https://www.bkbaccountants.co.uk,OK,Electrical installation,Micro (turnover ≤£632k)
Senigallia Limited,https://www.senigallialimited.co.uk,OK,Electrical installation,Micro (turnover ≤£632k)
D J Plumbing & Heating (Brighton) Ltd,http://www.dj-plumbing-heating.co.uk,OK,"Plumbing, heat and air-conditioning installation",Micro (turnover ≤£632k)
Uptegral Limited,https://uptegral.co.uk,OK,Other construction installation,Micro (turnover ≤£632k)
Dream Home Professionals Ltd,https://www.dreamhomeprofessionals.co.uk,OK,Plastering,Micro (turnover ≤£632k)
Future Industry Services Limited,https://futureindustrial.com,OK,Joinery installation,Micro (turnover ≤£632k)
Top Notch Bespoke Fitted Furniture Limited,https://www.topnotchbespoke.co.uk,OK,Joinery installation,Micro (turnover ≤£632k)
Dentaid PDR Limited,https://www.dentaid.com/en/,OK,Maintenance and repair of motor vehicles,Micro (turnover ≤£632k)
MLT Tyres Ltd,https://www.mlttyres.co.uk,OK,Wholesale trade of motor vehicle parts and accessories,Micro (turnover ≤£632k)
Yogi's Tyres Limited,https://www.yogistyres.co.uk,OK,Retail trade of motor vehicle parts and accessories,Micro (turnover ≤£632k)
Moto Trax Ltd,https://moto-trax.com,OK,"Sale, maintenance and repair of motorcycles and related parts and accessories",Micro (turnover ≤£632k)
O W & R J Vernon (Contractors) Limited,https://www.rjv-international.co.uk/agricultural-contracting/,OK,"Agents selling agricultural raw materials, livestock, textile raw materials and semi-finished goods",Micro (turnover ≤£632k)
Hi-Pro Pressure Products Ltd,http://www.hi-pro.co.uk,OK,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",Micro (turnover ≤£632k)
Blaydon Bathrooms Express Ltd,https://blaydonbathrooms.co.uk,OK,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",Micro (turnover ≤£632k)
Outfit of Tomorrow Ltd,https://www.outfit-of-tomorrow.com,OK,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",Micro (turnover ≤£632k)
Russell Food Gruhe Limited,http://russellfoodgroup.co.uk,OK,"Agents involved in the sale of food, beverages and tobacco",Micro (turnover ≤£632k)
Noir Services Limited,https://www.noirconsulting.co.uk,,Agents involved in the sale of a variety of goods,Micro (turnover ≤£632k)
Flowers by Mirelle C. Ltd,https://www.flowersbymirelle.co.uk,OK,Wholesale of flowers and plants,Micro (turnover ≤£632k)
Sillfield Farms Barrow Ltd,https://www.sillfield.co.uk,,Wholesale of meat and meat products,Micro (turnover ≤£632k)
Spice Realm Ltd,https://spicerealm.com,OK,"Wholesale of coffee, tea, cocoa and spices",Micro (turnover ≤£632k)
Bisco Foods Limited,http://www.biscofoods.co.uk/,,"Wholesale of other food, including fish, crustaceans and molluscs",Micro (turnover ≤£632k)
NHB London Consultancy Ltd.,http://www.nhblondon.co.uk,OK,"Non-specialised wholesale of food, beverages and tobacco",Micro (turnover ≤£632k)
Bombay Stores Wholesale Ltd,http://bombaystoreswholesale.com/site/,OK,Wholesale of textiles,Micro (turnover ≤£632k)
Templecombe Ltd,https://www.templecoombe.co.uk,OK,Wholesale of china and glassware and cleaning materials,Micro (turnover ≤£632k)
Al Haram Perfumes Limited,https://alharamperfumes.co.uk,OK,Wholesale of perfume and cosmetics,Micro (turnover ≤£632k)
Express Lab Ltd,https://expresslabs.com,OK,Wholesale of pharmaceutical goods,Micro (turnover ≤£632k)
Netint Ltd,https://netint.com,OK,"Wholesale of computers, computer peripheral equipment and software",Micro (turnover ≤£632k)
Conway Services Ltd,http://www.conwayservices.co.uk,OK,"Wholesale of agricultural machinery, equipment and supplies",Micro (turnover ≤£632k)
Tagliaferro Investments Limited,https://til-group.com,OK,"Wholesale of mining, construction and civil engineering machinery",Micro (turnover ≤£632k)
Maha Services Limited,https://www.maha.co.uk/en,OK,Wholesale of petroleum and petroleum products,Micro (turnover ≤£632k)
Cambridge Heating Spares and Controls Limited,https://www.cambridgeheatingspares.co.uk,OK,"Wholesale of hardware, plumbing and heating equipment and supplies",Micro (turnover ≤£632k)
SRG Fixings Limited,https://srgfixings.co.uk,OK,"Wholesale of hardware, plumbing and heating equipment and supplies",Micro (turnover ≤£632k)
Brexco Ltd,https://brexco.co.uk,,Wholesale of chemical products,Micro (turnover ≤£632k)
Corline Coatings Limited,https://www.corlinecoatings.co.uk,OK,Wholesale of chemical products,Micro (turnover ≤£632k)
Holtbolt Limited,http://www.holtbolt.co.uk,OK,Wholesale of other intermediate products,Micro (turnover ≤£632k)
Test Valley Car Breakers Limited,https://test-valley-car.edan.io,,Wholesale of waste and scrap,Micro (turnover ≤£632k)
Polpi Ltd,https://www.polpi.co.uk,OK,Non-specialised wholesale trade,Micro (turnover ≤£632k)
Mart Farm Shop and Cafe Ltd,https://martfarmshop.co.uk,OK,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",Micro (turnover ≤£632k)
Nordic Muse Limited,https://nordicmuse.com,OK,Other retail sale in non-specialised stores,Micro (turnover ≤£632k)
Hanks' Meat & Game Ltd,https://meatandgame.com,OK,Retail sale of meat and meat products in specialised stores,Micro (turnover ≤£632k)
R & C Harper Limited,https://www.harperltd.co.uk,OK,"Retail sale of fish, crustaceans and molluscs in specialised stores",Micro (turnover ≤£632k)
North Sea Seafood Limited,https://www.northseaseafood.com,OK,"Retail sale of fish, crustaceans and molluscs in specialised stores",Micro (turnover ≤£632k)
Cake Box (Upminster) Ltd,https://www.cakebox.com,OK,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",Micro (turnover ≤£632k)
Kwik Stop Telford Limited,https://gokwikstop.com/,OK,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",Micro (turnover ≤£632k)
Divine Coffee Boutique Limited,https://divinecoffee.co.uk,OK,Retail sale of beverages in specialised stores,Micro (turnover ≤£632k)
Salam Halal Meat Ltd,https://salam.uk.com,OK,Retail sale of beverages in specialised stores,Micro (turnover ≤£632k)
Sara Cafe Limited,http://www.saracafe.co.uk,,Retail sale of tobacco products in specialised stores,Micro (turnover ≤£632k)
Cooking with Caz (CWC) Ltd,https://cookingwithcaz.com,OK,Other retail sale of food in specialised stores,Micro (turnover ≤£632k)
Lemon Grass Arun Limited,https://lemongrasscloud.com,OK,Other retail sale of food in specialised stores,Micro (turnover ≤£632k)
The Computer Store Ltd,https://www.computerstoresc.co.uk,OK,"Retail sale of computers, peripheral units and software in specialised stores",Micro (turnover ≤£632k)
Jessica Fox Ltd,https://jessica-fox.co.uk,,Retail sale of textiles in specialised stores,Micro (turnover ≤£632k)
Swags and Drapes Ltd,https://www.swagsanddrapes.co.uk,OK,Retail sale of textiles in specialised stores,Micro (turnover ≤£632k)
Great British Interiors Ltd,https://greatbritishinteriors.com,OK,Retail sale of textiles in specialised stores,Micro (turnover ≤£632k)
WFS Flooring & Tiles Ltd,https://www.wfsni.com,,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores",Micro (turnover ≤£632k)
Allenton Appliances Limited,https://www.allentonappliances.com,,Retail sale of electrical household appliances in specialised stores,Micro (turnover ≤£632k)
Key Catering Solutions Ltd,https://keycateringsolutions.co.uk,,Retail sale of electrical household appliances in specialised stores,Micro (turnover ≤£632k)
Direct Beds and Sofa Outlet Limited,https://www.directbedsandsofas.co.uk,,"Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",Micro (turnover ≤£632k)
Silver Lining Internships Limited,https://www.silverlininginternships.co.uk,,Retail sale of games and toys in specialised stores,Micro (turnover ≤£632k)
Jaynes Bridalwear Limited,https://www.jaynesbridalwear.co.uk,,Retail sale of clothing in specialised stores,Micro (turnover ≤£632k)
Cool Sheepskin Limited,https://coolsheepskin.co.uk,,Retail sale of footwear in specialised stores,Micro (turnover ≤£632k)
A&T Healthcare Ltd,http://healthlovingcare.com,,Dispensing chemist in specialised stores,Micro (turnover ≤£632k)
Jasmin Ltd,https://jasmin.ac.uk,,Dispensing chemist in specialised stores,Micro (turnover ≤£632k)
HDP Medical Supplies Ltd,https://hdpmedicalsupplies.com,,Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c.,Micro (turnover ≤£632k)
Cormed-Dx Ltd,https://cormed-dx.com,,Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c.,Micro (turnover ≤£632k)
Federated First Aid Training Organisations Ltd,https://www.fofato.co.uk,,Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c.,Micro (turnover ≤£632k)
Watford Hair and Beauty Limited,http://www.watfordhairandbeauties.com,,Retail sale of cosmetic and toilet articles in specialised stores,Micro (turnover ≤£632k)
Burgos Pet World Ltd,https://burgos-pet-world.ueniweb.com,,"Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores",Micro (turnover ≤£632k)
Jayesh Florist Limited,https://www.jayeshflorist.com,,"Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores",Micro (turnover ≤£632k)
Robert's Fine Jewellery Ltd,https://robertsfinejewellery.co.uk,,Retail sale of watches and jewellery in specialised stores,Micro (turnover ≤£632k)
Mainline Art Store Ltd,https://www.mainline319.co.uk,,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),Micro (turnover ≤£632k)
Daisychain Benevolent Fund,https://www.daisychainbenevolentfund.co.uk,,Retail sale of other second-hand goods in stores (not incl. antiques),Micro (turnover ≤£632k)
Katzenworld Ltd,https://katzenworld.co.uk,,Retail sale via stalls and markets of other goods,Micro (turnover ≤£632k)
Beebaltic Ltd,https://beebaltic.com,,Retail sale via stalls and markets of other goods,Micro (turnover ≤£632k)
Matador Models Limited,https://matadormodels.co.uk,,Retail sale via stalls and markets of other goods,Micro (turnover ≤£632k)
Freeflush Limited,https://www.freeflush.co.uk,,Retail sale via mail order houses or via Internet,Micro (turnover ≤£632k)
Chelsea Chauffeurs Ltd,https://chelseachauffeursltd.co.uk,,Taxi operation,Micro (turnover ≤£632k)
Premier Mini Buses (NW) Limited,https://premierminibuses.com,,Other passenger land transport,Micro (turnover ≤£632k)
